p,eps,L,mu,c,episode,convergence
1.0,0.25,0.5,0.0,0.25*(1-eps),"[0.21755109349129814, 0.2085290328888311, 0.200225485664025, 0.1925579062218241, 0.1854559348392205, 0.1788591883268512, 0.17271562288593403, 0.16698008771471107, 0.1616132465408177, 0.15658062890977578, 0.15185198730118485, 0.14740059882922077, 0.1432027219680356, 0.13923735908822366, 0.1354856710816225, 0.13193085386346928, 0.12855779795530017, 0.1253529367677445, 0.12230397045874158]",True
1.0,0.25,0.5,0.25,2*(1-eps),"[0.12201353733485366, 0.10058187271203341, 0.08413693099397038, 0.07122747580795132, 0.06090677215031336, 0.0525313500148323, 0.0456490526726542, 0.03993324525123305, 0.0351423630228118, 0.031094338585234114, 0.027649490600055802, 0.024702193085293797, 0.02216788542248408, 0.01997532153751798, 0.01807285709094102, 0.016417134907005908, 0.014971343422080662, 0.013705374144163805, 0.012593016050495735]",True
1.0,0.25,0.5,0.25,1.5*(1-eps),"[0.12201353733485366, 0.10058187271203341, 0.08413693099397038, 0.07122747580795132, 0.06090677215031336, 0.0525313500148323, 0.0456490526726542, 0.03993324525123305, 0.0351423630228118, 0.031094338585234114, 0.027649490600055802, 0.024702193085293797, 0.02216788542248408, 0.01997532153751798, 0.01807285709094102, 0.016417134907005908, 0.014971343422080662, 0.013705374144163805, 0.012593016050495735]",True
1.0,0.25,0.5,0.25,1*(1-eps),"[0.14443811096987447, 0.12385046910680832, 0.10727168057646809, 0.09370007852426468, 0.08243813631277348, 0.0729853238086734, 0.06497331937014973, 0.0581250945160919, 0.05222843546700891, 0.04711815496369508, 0.04266378690563359, 0.03876102017815476, 0.03532555530777635, 0.032289400900120245, 0.029599114941788452, 0.027201969173875584, 0.02506321376237765, 0.023147446084670897, 0.0214291242870451]",True
1.0,0.25,0.5,0.25,0.5*(1-eps),"[0.18809521927795797, 0.17261392017266325, 0.15898143224994674, 0.14690041040234436, 0.13613360251359827, 0.12648939853496546, 0.11781137235493054, 0.1099705544854502, 0.10285966091620179, 0.09638874006851149, 0.09048179353531434, 0.08507419313053106, 0.08011061528751, 0.07554344580231659, 0.07133147745664632, 0.06743887323866703, 0.06383431880835082, 0.060490353954874364, 0.05738276007467631]",True
1.0,0.25,0.5,0.25,0.25*(1-eps),"[0.2161604144754542, 0.20645092473657087, 0.1973995216319897, 0.18894421389354607, 0.18103052514911067, 0.173610388271193, 0.16664124163212102, 0.16008523233922675, 0.15390860458317868, 0.14808115278728617, 0.14257577376490688, 0.1373680720827178, 0.13243602285791123, 0.12775970962040956, 0.12332106245171195, 0.11910365761195668, 0.11509252640504107, 0.11127400168425729, 0.10763560322920612]",True
1.0,0.25,0.5,0.375,2*(1-eps),"[0.1121957482103537, 0.08929701705661466, 0.0720894183374977, 0.05892711542941494, 0.04870748448249435, 0.04066953572323611, 0.03427485420651147, 0.029134966635757247, 0.024964709082666504, 0.021557145038120753, 0.018747014392627416, 0.016416211400679136, 0.014470216994063152, 0.01283524173303176, 0.011453743688754316, 0.010278009614347479, 0.009271307553807616, 0.008403961452029114, 0.007651713211224729]",True
1.0,0.25,0.5,0.375,1.5*(1-eps),"[0.1121957482103537, 0.08929701705661466, 0.0720894183374977, 0.05892711542941494, 0.04870748448249435, 0.04066953572323611, 0.03427485420651147, 0.029134966635757247, 0.024964709082666504, 0.021557145038120753, 0.018747014392627416, 0.016416211400679136, 0.014470216994063152, 0.01283524173303176, 0.011453743688754316, 0.010278009614347479, 0.009271307553807616, 0.008403961452029114, 0.007651713211224729]",True
1.0,0.25,0.5,0.375,1*(1-eps),"[0.13756986762405113, 0.11536623519034192, 0.09761126639990016, 0.08324317580672978, 0.07149643432622754, 0.06180675136014246, 0.053750481092507636, 0.047004598088585474, 0.04131937738902509, 0.036499620288722764, 0.03239136148591532, 0.028875123522741776, 0.025847151534267785, 0.023232170512491768, 0.020962068906364935, 0.01898511072034106, 0.01725742306638532, 0.015741996454218695, 0.014408443054051936]",True
1.0,0.25,0.5,0.375,0.5*(1-eps),"[0.18566628846429678, 0.16922289950590144, 0.15466238239839553, 0.14171538231099415, 0.13015963344706022, 0.11981014768397727, 0.11051179657365967, 0.1021336347828991, 0.09456435902611637, 0.08770888023698742, 0.08148547845764988, 0.07582363694237086, 0.07066217562993056, 0.06594784854429511, 0.06163410168967674, 0.05768009933155152, 0.054050668340144555, 0.050713715781835575, 0.04764048229140487]",True
